1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,"British shorthair",2021-05-23
4,Rhaegar,5600,"Azul Ruso",2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
11,x,2222,ddd,2021-10-23
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,"British shorthair",2021-05-23
4,Rhaegar,5600,"Azul Ruso",2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,"British shorthair",2021-05-23
4,Rhaegar,5600,"Azul Ruso",2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
11,gh,23,gfhf,2021-11-10
12,Hola,5556,hj,2021-12-02
13,gfh,41,gfhf,2021-11-26
14,gfh,254,gj,2021-11-25
15,i,1,iyy,2021-11-20
16,hi,1,pppppppppppp,2021-11-20
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,"British shorthair",2021-05-23
4,Rhaegar,5600,"Azul Ruso",2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,"British shorthair",2021-05-23
4,Rhaegar,5600,"Azul Ruso",2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,"British shorthair",2021-05-23
4,Rhaegar,5600,"Azul Ruso",2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,British,2021-05-23
4,Rhaegar,5600,"Azul ruso",2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
41,ii,14,ii,2021-11-17
42,tt,45,tt,2021-11-18
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,British,2021-05-23
4,Rhaegar,5600,"Azul ruso",2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
41,ii,14,ii,2021-11-17
42,tt,45,tt,2021-11-18
43,Silver,5680,"Scottish Fold",2021-02-23
44,Shadow,5623,"Angora Turco",2021-10-05
45,Orión,5611,Bombay,2021-01-01
46,Silver,5680,"Scottish Fold",2021-02-23
47,Shadow,5623,"Angora Turco",2021-10-05
48,Orión,5611,Bombay,2021-01-01
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,British,2021-05-23
4,Rhaegar,5600,"Azul ruso",2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
41,ii,14,ii,2021-11-17
42,tt,45,tt,2021-11-18
43,Silver,5680,"Scottish Fold",2021-02-23
44,Shadow,5623,"Angora Turco",2021-10-05
45,Orión,5611,Bombay,2021-01-01
46,Silver,5680,"Scottish Fold",2021-02-23
47,Shadow,5623,"Angora Turco",2021-10-05
48,Orión,5611,Bombay,2021-01-01
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,British,2021-05-23
4,Rhaegar,5600,AzulRuso,2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
41,ii,14,ii,2021-11-17
42,tt,45,tt,2021-11-18
43,Silver,5680,"Scottish Fold",2021-02-23
44,Shadow,5623,"Angora Turco",2021-10-05
45,Orión,5611,Bombay,2021-01-01
46,Silver,5680,"Scottish Fold",2021-02-23
47,Shadow,5623,"Angora Turco",2021-10-05
48,Orión,5611,Bombay,2021-01-01
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,British,2021-05-23
4,Rhaegar,5600,AzulRuso,2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
41,ii,14,ii,2021-11-17
42,tt,45,tt,2021-11-18
43,Silver,5680,"Scottish Fold",2021-02-23
44,Shadow,5623,"Angora Turco",2021-10-05
45,Orión,5611,Bombay,2021-01-01
46,Silver,5680,"Scottish Fold",2021-02-23
47,Shadow,5623,"Angora Turco",2021-10-05
48,Orión,5611,Bombay,2021-01-01
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,British,2021-05-23
4,Rhaegar,5600,AzulRuso,2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
41,ii,14,ii,2021-11-17
42,tt,45,tt,2021-11-18
43,Silver,5680,"Scottish Fold",2021-02-23
44,Shadow,5623,"Angora Turco",2021-10-05
45,Orión,5611,Bombay,2021-01-01
46,Silver,5680,"Scottish Fold",2021-02-23
47,Shadow,5623,"Angora Turco",2021-10-05
48,Orión,5611,Bombay,2021-01-01
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,British,2021-05-23
4,Rhaegar,5600,AzulRuso,2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
41,ii,14,ii,2021-11-17
42,tt,45,tt,2021-11-18
43,Silver,5680,"Scottish Fold",2021-02-23
44,Shadow,5623,"Angora Turco",2021-10-05
45,Orión,5611,Bombay,2021-01-01
46,Silver,5680,"Scottish Fold",2021-02-23
47,Shadow,5623,"Angora Turco",2021-10-05
48,Orión,5611,Bombay,2021-01-01
1,Pitín,5645,persa,2021-10-23
2,Flash,5842,MaineCoon,2021-09-23
3,Oreo,5625,British,2021-05-23
4,Rhaegar,5600,AzulRuso,2021-01-23
5,Odín,5601,persa,2021-10-01
6,Max,5646,Siamés,2021-10-05
7,Leo,5620,Ragdoll,2021-10-02
8,Silver,5680,"Scottish Fold",2021-02-23
9,Shadow,5623,"Angora Turco",2021-10-05
10,Orión,5611,Bombay,2021-01-01
12,pep,2,2,2021-01-01
13,yyyy,8,ghniii,2021-11-04
14,ioo56456,1,ww,2021-11-19
15,ok,1,o,2021-10-28
19,wiiiiiiiiii,65,w,2021-11-18
20,ii,22,ss,2021-02-23
21,tt,22,ss,2021-02-23
22,bb,22,ss,2021-02-23
23,rr,22,ss,2021-02-23
24,ee,22,ss,2021-02-23
25,ii,22,ss,2021-02-23
26,tt,22,ss,2021-02-23
27,bb,22,ss,2021-02-23
28,rr,22,ss,2021-02-23
29,ee,22,ss,2021-02-23
30,wii,22,rr,2021-10-01
31,wii,22,rr,2021-10-01
32,wii,22,rr,2021-10-01
33,wii,22,rr,2021-10-01
34,wii,22,rr,2021-10-01
35,wii,22,rr,2021-10-01
36,qq,1,q,2021-11-11
37,Pepinillo,12345,Pepe,2012-09-05
38,wii,22,rr,2021-10-01
39,wii,22,rr,2021-10-01
40,wii,22,rr,2021-10-01
41,ii,14,ii,2021-11-17
42,tt,45,tt,2021-11-18
43,Silver,5680,"Scottish Fold",2021-02-23
44,Shadow,5623,"Angora Turco",2021-10-05
45,Orión,5611,Bombay,2021-01-01
46,Silver,5680,"Scottish Fold",2021-02-23
47,Shadow,5623,"Angora Turco",2021-10-05
48,Orión,5611,Bombay,2021-01-01
